topic_id,methodology_id,strength,note
1,13,2,
1,14,2,
1,16,2,
1,17,2,
1,10,2,
1,56,2,
1,50,2,
1,51,2,
1,52,2,
1,18,2,
2,13,2,
2,14,2,
2,16,2,
2,17,2,
2,10,2,
2,56,2,
2,50,2,
2,51,2,
2,52,2,
2,18,2,
3,13,2,
3,14,2,
3,16,2,
3,17,2,
3,10,2,
3,56,2,
3,50,2,
3,51,2,
3,52,2,
3,18,2,
4,13,2,
4,14,2,
4,16,2,
4,17,2,
4,10,2,
4,56,2,
4,50,2,
4,51,2,
4,52,2,
4,18,2,
5,13,2,
5,14,2,
5,16,2,
5,17,2,
5,10,2,
5,56,2,
5,50,2,
5,51,2,
5,52,2,
5,18,2,
6,13,2,
6,14,2,
6,16,2,
6,17,2,
6,10,2,
6,56,2,
6,50,2,
6,51,2,
6,52,2,
6,18,2,
7,13,2,
7,14,2,
7,16,2,
7,17,2,
7,10,2,
7,56,2,
7,50,2,
7,51,2,
7,52,2,
7,18,2,
8,13,2,
8,14,2,
8,16,2,
8,17,2,
8,10,2,
8,56,2,
8,50,2,
8,51,2,
8,52,2,
8,18,2,
9,13,2,
9,14,2,
9,16,2,
9,17,2,
9,10,2,
9,56,2,
9,50,2,
9,51,2,
9,52,2,
9,18,2,
10,13,2,
10,14,2,
10,16,2,
10,17,2,
10,10,2,
10,56,2,
10,50,2,
10,51,2,
10,52,2,
10,18,2,
11,13,2,
11,14,2,
11,16,2,
11,17,2,
11,10,2,
11,56,2,
11,50,2,
11,51,2,
11,52,2,
11,18,2,
12,13,2,
12,14,2,
12,16,2,
12,17,2,
12,10,2,
12,56,2,
12,50,2,
12,51,2,
12,52,2,
12,18,2,
13,13,2,
13,14,2,
13,16,2,
13,17,2,
13,10,2,
13,56,2,
13,50,2,
13,51,2,
13,52,2,
13,18,2,
14,13,2,
14,14,2,
14,16,2,
14,17,2,
14,10,2,
14,56,2,
14,50,2,
14,51,2,
14,52,2,
14,18,2,
15,13,2,
15,14,2,
15,16,2,
15,17,2,
15,10,2,
15,56,2,
15,50,2,
15,51,2,
15,52,2,
15,18,2,
16,13,2,
16,14,2,
16,16,2,
16,17,2,
16,10,2,
16,56,2,
16,50,2,
16,51,2,
16,52,2,
16,18,2,
17,13,2,
17,14,2,
17,16,2,
17,17,2,
17,10,2,
17,56,2,
17,50,2,
17,51,2,
17,52,2,
17,18,2,
18,13,2,
18,14,2,
18,16,2,
18,17,2,
18,10,2,
18,56,2,
18,50,2,
18,51,2,
18,52,2,
18,18,2,
19,13,2,
19,14,2,
19,16,2,
19,17,2,
19,10,2,
19,56,2,
19,50,2,
19,51,2,
19,52,2,
19,18,2,
20,13,2,
20,14,2,
20,16,2,
20,17,2,
20,10,2,
20,56,2,
20,50,2,
20,51,2,
20,52,2,
20,18,2,
21,13,2,
21,14,2,
21,16,2,
21,17,2,
21,10,2,
21,56,2,
21,50,2,
21,51,2,
21,52,2,
21,18,2,
22,13,2,
22,14,2,
22,16,2,
22,17,2,
22,10,2,
22,56,2,
22,50,2,
22,51,2,
22,52,2,
22,18,2,
23,13,2,
23,14,2,
23,16,2,
23,17,2,
23,10,2,
23,56,2,
23,50,2,
23,51,2,
23,52,2,
23,18,2,
24,12,3,
24,2,3,
24,1,3,
24,22,3,
24,42,3,
25,12,3,
25,2,3,
25,1,3,
25,22,3,
25,42,3,
26,12,3,
26,2,3,
26,1,3,
26,22,3,
26,42,3,
27,12,3,
27,2,3,
27,1,3,
27,22,3,
27,42,3,
28,12,3,
28,2,3,
28,1,3,
28,22,3,
28,42,3,
29,12,3,
29,2,3,
29,1,3,
29,22,3,
29,42,3,
30,12,3,
30,2,3,
30,1,3,
30,22,3,
30,42,3,
31,12,3,
31,2,3,
31,1,3,
31,22,3,
31,42,3,
32,12,3,
32,2,3,
32,1,3,
32,22,3,
32,42,3,
33,12,3,
33,2,3,
33,1,3,
33,22,3,
33,42,3,
34,12,3,
34,2,3,
34,1,3,
34,22,3,
34,42,3,
35,12,3,
35,2,3,
35,1,3,
35,22,3,
35,42,3,
36,12,3,
36,2,3,
36,1,3,
36,22,3,
36,42,3,
37,12,3,
37,2,3,
37,1,3,
37,22,3,
37,42,3,
38,12,3,
38,2,3,
38,1,3,
38,22,3,
38,42,3,
39,12,3,
39,2,3,
39,1,3,
39,22,3,
39,42,3,
40,12,3,
40,2,3,
40,1,3,
40,22,3,
40,42,3,
41,12,3,
41,2,3,
41,1,3,
41,22,3,
41,42,3,
42,12,3,
42,2,3,
42,1,3,
42,22,3,
42,42,3,
43,12,3,
43,2,3,
43,1,3,
43,22,3,
43,42,3,
44,12,3,
44,2,3,
44,1,3,
44,22,3,
44,42,3,
45,12,3,
45,2,3,
45,1,3,
45,22,3,
45,42,3,
46,12,3,
46,2,3,
46,1,3,
46,22,3,
46,42,3,
47,12,3,
47,2,3,
47,1,3,
47,22,3,
47,42,3,
48,12,3,
48,2,3,
48,1,3,
48,22,3,
48,42,3,
49,12,3,
49,2,3,
49,1,3,
49,22,3,
49,42,3,
50,12,3,
50,2,3,
50,1,3,
50,22,3,
50,42,3,
51,12,3,
51,2,3,
51,1,3,
51,22,3,
51,42,3,
52,12,3,
52,2,3,
52,1,3,
52,22,3,
52,42,3,
53,12,3,
53,2,3,
53,1,3,
53,22,3,
53,42,3,
54,12,3,
54,2,3,
54,1,3,
54,22,3,
54,42,3,
55,12,3,
55,2,3,
55,1,3,
55,22,3,
55,42,3,
56,12,3,
56,2,3,
56,1,3,
56,22,3,
56,42,3,
57,12,3,
57,2,3,
57,1,3,
57,22,3,
57,42,3,
58,12,3,
58,2,3,
58,1,3,
58,22,3,
58,42,3,
59,12,3,
59,2,3,
59,1,3,
59,22,3,
59,42,3,
60,12,3,
60,2,3,
60,1,3,
60,22,3,
60,42,3,
61,12,3,
61,2,3,
61,1,3,
61,22,3,
61,42,3,
62,12,3,
62,2,3,
62,1,3,
62,22,3,
62,42,3,
63,12,3,
63,2,3,
63,1,3,
63,22,3,
63,42,3,
64,12,3,
64,2,3,
64,1,3,
64,22,3,
64,42,3,
65,12,3,
65,2,3,
65,1,3,
65,22,3,
65,42,3,
66,12,3,
66,2,3,
66,1,3,
66,22,3,
66,42,3,
67,12,3,
67,2,3,
67,1,3,
67,22,3,
67,42,3,
68,12,3,
68,2,3,
68,1,3,
68,22,3,
68,42,3,
69,12,3,
69,2,3,
69,1,3,
69,22,3,
69,42,3,
70,12,3,
70,2,3,
70,1,3,
70,22,3,
70,42,3,
71,12,3,
71,2,3,
71,1,3,
71,22,3,
71,42,3,
72,12,3,
72,2,3,
72,1,3,
72,22,3,
72,42,3,
73,12,3,
73,2,3,
73,1,3,
73,22,3,
73,42,3,
74,12,3,
74,2,3,
74,1,3,
74,22,3,
74,42,3,
75,12,3,
75,2,3,
75,1,3,
75,22,3,
75,42,3,
76,12,3,
76,2,3,
76,1,3,
76,22,3,
76,42,3,
77,12,3,
77,2,3,
77,1,3,
77,22,3,
77,42,3,
78,12,3,
78,2,3,
78,1,3,
78,22,3,
78,42,3,
79,12,3,
